Unique No,Scheme Code,RTA Scheme Code,AMC Scheme Code,ISIN,AMC Code,Scheme Type,Scheme Plan,Scheme Name,Purchase Allowed,Purchase Transaction mode,Minimum Purchase Amount,Additional Purchase Amount,Maximum Purchase Amount,Purchase Amount Multiplier,Purchase Cutoff Time,Redemption Allowed,Redemption Transaction Mode,Minimum Redemption Qty,Redemption Qty Multiplier,Maximum Redemption Qty,Redemption Amount - Minimum,Redemption Amount â Maximum,Redemption Amount Multiple,Redemption Cut off Time,RTA Agent Code,AMC Active Flag,Dividend Reinvestment Flag,SIP FLAG,STP FLAG,SWP Flag,Switch FLAG,SETTLEMENT TYPE,AMC_IND,Face Value,Start Date,End Date,Exit Load Flag,Exit Load,Lock-in Period Flag,Lock-in Period,Channel Partner Code,ReOpening Date,Unnamed: 43
28485,HD58-DR,58,58,INF179K01483,HDFCMutualFund_MF,DEBT,NORMAL,HDFC LOW DURATION FUND - RETAIL OPTION - REGULAR PLAN - WEEKLY IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,N,Y,T1,,10.0,Oct 19 2018,Oct 19 2099,N,0.0,N,0.0,H58,,
29537,HD58-DR-L1,58,58,INF179K01483,HDFCMutualFund_MF,DEBT,NORMAL,HDFC LOW DURATION FUND - RETAIL OPTION - REGULAR PLAN - WEEKLY IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,10.0,Oct 19 2018,Oct 19 2099,N,0.0,N,0.0,H58,,
34298,HD58T-DP,58T,58T,INF123BSE153,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - WEEKLY IDCW PAYOUT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,N,Y,N,N,Y,T1,,10.0,Nov 15 2019,Nov 15 2099,N,0.0,N,0.0,H58T,,
34299,HD58T-DP-L1,58T,58T,INF123BSE153,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - WEEKLY IDCW PAYOUT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,Nov 15 2019,Nov 15 2099,N,0.0,N,0.0,H58T,,
34296,HD58T-DR,58T,58T,INF123BSE152,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - WEEKLY IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,N,Y,T1,,10.0,Nov 15 2019,Nov 15 2099,N,0.0,N,0.0,H58T,,
34297,HD58T-DR-L1,58T,58T,INF123BSE152,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - WEEKLY IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,10.0,Nov 15 2019,Nov 15 2099,N,0.0,N,0.0,H58T,,
34300,HD59T-DR,59T,59T,INF123BSE154,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - DAILY IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,N,Y,T1,,10.0,Nov 15 2019,Nov 15 2099,N,0.0,N,0.0,H59T,,
34301,HD59T-DR-L1,59T,59T,INF123BSE154,HDFCMutualFund_MF,DEBT,DIRECT,HDFC LOW DURATION FUND - DIRECT PLAN - DAILY IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,10.0,Nov 15 2019,Nov 15 2099,N,0.0,N,0.0,H59T,,
24053,HD60-DR,60,60,INF179K01459,HDFCMutualFund_MF,DEBT,NORMAL,HDFC LOW DURATION FUND - RETAIL - REGULAR PLAN - MONTHLY IDCW REINVESTMENT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,Y,Y,N,Y,Y,T1,,1.0,Jul 29 2016,Jul 29 2099,N,0.0,N,0.0,H60,,
24054,HD60-DR-L1,60,60,INF179K01459,HDFCMutualFund_MF,DEBT,NORMAL,HDFC LOW DURATION FUND - RETAIL - REGULAR PLAN - MONTHLY IDCW REINVESTMENT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,1000.0,0.0,1.0,14:30:00,CAMS,1,Y,Y,N,N,N,L1,,1.0,Jul 29 2016,Jul 29 2099,N,0.0,N,0.0,H60,,
